condition,distance,sentence,subject,verb_phrase,target_phrase,grammatical,mask_char_pos
no_honorific,close,어제 저녁에 혼자서 선생님이 책을 읽었다.,선생님이,책을 읽었다,읽었다,True,20
verb_only,close,어제 저녁에 혼자서 선생님이 책을 읽으셨다.,선생님이,책을 읽으셨다,읽으셨다,True,21
noun_only,close,어제 저녁에 혼자서 선생님께서 책을 읽었다.,선생님께서,책을 읽었다,읽었다,False,21
all_honorific,close,어제 저녁에 혼자서 선생님께서 책을 읽으셨다.,선생님께서,책을 읽으셨다,읽으셨다,True,23
no_honorific,close,어제 저녁에 혼자서 선생님이 파스타를 먹었다.,선생님이,파스타를 먹었다,먹었다,True,22
verb_only,close,어제 저녁에 혼자서 선생님이 파스타를 드셨다.,선생님이,파스타를 드셨다,드셨다,True,22
noun_only,close,어제 저녁에 혼자서 선생님께서 파스타를 먹었다.,선생님께서,파스타를 먹었다,먹었다,False,23
all_honorific,close,어제 저녁에 혼자서 선생님께서 파스타를 드셨다.,선생님께서,파스타를 드셨다,드셨다,True,24
no_honorific,close,어제 저녁에 혼자서 선생님이 호통을 쳤다.,선생님이,호통을 쳤다,쳤다,True,20
verb_only,close,어제 저녁에 혼자서 선생님이 호통을 치셨다.,선생님이,호통을 치셨다,치셨다,True,21
noun_only,close,어제 저녁에 혼자서 선생님께서 호통을 쳤다.,선생님께서,호통을 쳤다,쳤다,False,21
all_honorific,close,어제 저녁에 혼자서 선생님께서 호통을 치셨다.,선생님께서,호통을 치셨다,치셨다,True,23
no_honorific,close,어제 저녁에 혼자서 선생님이 핸드폰을 샀다.,선생님이,핸드폰을 샀다,샀다,True,21
verb_only,close,어제 저녁에 혼자서 선생님이 핸드폰을 사셨다.,선생님이,핸드폰을 사셨다,사셨다,True,22
noun_only,close,어제 저녁에 혼자서 선생님께서 핸드폰을 샀다.,선생님께서,핸드폰을 샀다,샀다,False,22
all_honorific,close,어제 저녁에 혼자서 선생님께서 핸드폰을 사셨다.,선생님께서,핸드폰을 사셨다,사셨다,True,24
no_honorific,close,어제 저녁에 혼자서 선생님이 편지를 썼다.,선생님이,편지를 썼다,썼다,True,20
verb_only,close,어제 저녁에 혼자서 선생님이 편지를 쓰셨다.,선생님이,편지를 쓰셨다,쓰셨다,True,21
noun_only,close,어제 저녁에 혼자서 선생님께서 편지를 썼다.,선생님께서,편지를 썼다,썼다,False,21
all_honorific,close,어제 저녁에 혼자서 선생님께서 편지를 쓰셨다.,선생님께서,편지를 쓰셨다,쓰셨다,True,23
no_honorific,close,어제 저녁에 혼자서 선생님이 노래를 불렀다.,선생님이,노래를 불렀다,불렀다,True,21
verb_only,close,어제 저녁에 혼자서 선생님이 노래를 부르셨다.,선생님이,노래를 부르셨다,부르셨다,True,22
noun_only,close,어제 저녁에 혼자서 선생님께서 노래를 불렀다.,선생님께서,노래를 불렀다,불렀다,False,22
all_honorific,close,어제 저녁에 혼자서 선생님께서 노래를 부르셨다.,선생님께서,노래를 부르셨다,부르셨다,True,24
no_honorific,close,어제 저녁에 혼자서 선생님이 티비를 봤다.,선생님이,티비를 봤다,봤다,True,20
verb_only,close,어제 저녁에 혼자서 선생님이 티비를 보셨다.,선생님이,티비를 보셨다,보셨다,True,21
noun_only,close,어제 저녁에 혼자서 선생님께서 티비를 봤다.,선생님께서,티비를 봤다,봤다,False,21
all_honorific,close,어제 저녁에 혼자서 선생님께서 티비를 보셨다.,선생님께서,티비를 보셨다,보셨다,True,23
no_honorific,close,어제 저녁에 혼자서 선생님이 산책을 했다.,선생님이,산책을 했다,했다,True,20
verb_only,close,어제 저녁에 혼자서 선생님이 산책을 하셨다.,선생님이,산책을 하셨다,하셨다,True,21
noun_only,close,어제 저녁에 혼자서 선생님께서 산책을 했다.,선생님께서,산책을 했다,했다,False,21
all_honorific,close,어제 저녁에 혼자서 선생님께서 산책을 하셨다.,선생님께서,산책을 하셨다,하셨다,True,23
no_honorific,close,어제 저녁에 혼자서 선생님이 정원을 가꿨다.,선생님이,정원을 가꿨다,가꿨다,True,21
verb_only,close,어제 저녁에 혼자서 선생님이 정원을 가꾸셨다.,선생님이,정원을 가꾸셨다,가꾸셨다,True,22
noun_only,close,어제 저녁에 혼자서 선생님께서 정원을 가꿨다.,선생님께서,정원을 가꿨다,가꿨다,False,22
all_honorific,close,어제 저녁에 혼자서 선생님께서 정원을 가꾸셨다.,선생님께서,정원을 가꾸셨다,가꾸셨다,True,24
no_honorific,close,어제 저녁에 혼자서 선생님이 빨래를 널었다.,선생님이,빨래를 널었다,널었다,True,21
verb_only,close,어제 저녁에 혼자서 선생님이 빨래를 널으셨다.,선생님이,빨래를 널으셨다,널으셨다,True,22
noun_only,close,어제 저녁에 혼자서 선생님께서 빨래를 널었다.,선생님께서,빨래를 널었다,널었다,False,22
all_honorific,close,어제 저녁에 혼자서 선생님께서 빨래를 널으셨다.,선생님께서,빨래를 널으셨다,널으셨다,True,24
no_honorific,close,어제 저녁에 혼자서 교수님이 책을 읽었다.,교수님이,책을 읽었다,읽었다,True,20
verb_only,close,어제 저녁에 혼자서 교수님이 책을 읽으셨다.,교수님이,책을 읽으셨다,읽으셨다,True,21
noun_only,close,어제 저녁에 혼자서 교수님께서 책을 읽었다.,교수님께서,책을 읽었다,읽었다,False,21
all_honorific,close,어제 저녁에 혼자서 교수님께서 책을 읽으셨다.,교수님께서,책을 읽으셨다,읽으셨다,True,23
no_honorific,close,어제 저녁에 혼자서 교수님이 파스타를 먹었다.,교수님이,파스타를 먹었다,먹었다,True,22
verb_only,close,어제 저녁에 혼자서 교수님이 파스타를 드셨다.,교수님이,파스타를 드셨다,드셨다,True,22
noun_only,close,어제 저녁에 혼자서 교수님께서 파스타를 먹었다.,교수님께서,파스타를 먹었다,먹었다,False,23
all_honorific,close,어제 저녁에 혼자서 교수님께서 파스타를 드셨다.,교수님께서,파스타를 드셨다,드셨다,True,24
no_honorific,close,어제 저녁에 혼자서 교수님이 호통을 쳤다.,교수님이,호통을 쳤다,쳤다,True,20
verb_only,close,어제 저녁에 혼자서 교수님이 호통을 치셨다.,교수님이,호통을 치셨다,치셨다,True,21
noun_only,close,어제 저녁에 혼자서 교수님께서 호통을 쳤다.,교수님께서,호통을 쳤다,쳤다,False,21
all_honorific,close,어제 저녁에 혼자서 교수님께서 호통을 치셨다.,교수님께서,호통을 치셨다,치셨다,True,23
no_honorific,close,어제 저녁에 혼자서 교수님이 핸드폰을 샀다.,교수님이,핸드폰을 샀다,샀다,True,21
verb_only,close,어제 저녁에 혼자서 교수님이 핸드폰을 사셨다.,교수님이,핸드폰을 사셨다,사셨다,True,22
noun_only,close,어제 저녁에 혼자서 교수님께서 핸드폰을 샀다.,교수님께서,핸드폰을 샀다,샀다,False,22
all_honorific,close,어제 저녁에 혼자서 교수님께서 핸드폰을 사셨다.,교수님께서,핸드폰을 사셨다,사셨다,True,24
no_honorific,close,어제 저녁에 혼자서 교수님이 편지를 썼다.,교수님이,편지를 썼다,썼다,True,20
verb_only,close,어제 저녁에 혼자서 교수님이 편지를 쓰셨다.,교수님이,편지를 쓰셨다,쓰셨다,True,21
noun_only,close,어제 저녁에 혼자서 교수님께서 편지를 썼다.,교수님께서,편지를 썼다,썼다,False,21
all_honorific,close,어제 저녁에 혼자서 교수님께서 편지를 쓰셨다.,교수님께서,편지를 쓰셨다,쓰셨다,True,23
no_honorific,close,어제 저녁에 혼자서 교수님이 노래를 불렀다.,교수님이,노래를 불렀다,불렀다,True,21
verb_only,close,어제 저녁에 혼자서 교수님이 노래를 부르셨다.,교수님이,노래를 부르셨다,부르셨다,True,22
noun_only,close,어제 저녁에 혼자서 교수님께서 노래를 불렀다.,교수님께서,노래를 불렀다,불렀다,False,22
all_honorific,close,어제 저녁에 혼자서 교수님께서 노래를 부르셨다.,교수님께서,노래를 부르셨다,부르셨다,True,24
no_honorific,close,어제 저녁에 혼자서 교수님이 티비를 봤다.,교수님이,티비를 봤다,봤다,True,20
verb_only,close,어제 저녁에 혼자서 교수님이 티비를 보셨다.,교수님이,티비를 보셨다,보셨다,True,21
noun_only,close,어제 저녁에 혼자서 교수님께서 티비를 봤다.,교수님께서,티비를 봤다,봤다,False,21
all_honorific,close,어제 저녁에 혼자서 교수님께서 티비를 보셨다.,교수님께서,티비를 보셨다,보셨다,True,23
no_honorific,close,어제 저녁에 혼자서 교수님이 산책을 했다.,교수님이,산책을 했다,했다,True,20
verb_only,close,어제 저녁에 혼자서 교수님이 산책을 하셨다.,교수님이,산책을 하셨다,하셨다,True,21
noun_only,close,어제 저녁에 혼자서 교수님께서 산책을 했다.,교수님께서,산책을 했다,했다,False,21
all_honorific,close,어제 저녁에 혼자서 교수님께서 산책을 하셨다.,교수님께서,산책을 하셨다,하셨다,True,23
no_honorific,close,어제 저녁에 혼자서 교수님이 정원을 가꿨다.,교수님이,정원을 가꿨다,가꿨다,True,21
verb_only,close,어제 저녁에 혼자서 교수님이 정원을 가꾸셨다.,교수님이,정원을 가꾸셨다,가꾸셨다,True,22
