exp_idx,item_number,condition,sentence,distance,subject,subject_marker,verb_phrase,target_phrase,match,grammatical
1,1,honorableS-honorificV,어제 저녁에 혼자서 선생님이 책을 읽으셨다.,close,선생님이,이,책을 읽으셨다,읽으셨다,True,
1,1,honorableS-plainV,어제 저녁에 혼자서 선생님이 책을 읽었다.,close,선생님이,이,책을 읽었다,읽었다,False,
1,2,honorableS-honorificV,어제 저녁에 혼자서 선생님이 파스타를 드셨다.,close,선생님이,이,파스타를 드셨다,드셨다,True,
1,2,honorableS-plainV,어제 저녁에 혼자서 선생님이 파스타를 먹었다.,close,선생님이,이,파스타를 먹었다,먹었다,False,
1,3,honorableS-honorificV,어제 저녁에 혼자서 선생님이 호통을 치셨다.,close,선생님이,이,호통을 치셨다,치셨다,True,
1,3,honorableS-plainV,어제 저녁에 혼자서 선생님이 호통을 쳤다.,close,선생님이,이,호통을 쳤다,쳤다,False,
1,4,honorableS-honorificV,어제 저녁에 혼자서 선생님이 핸드폰을 사셨다.,close,선생님이,이,핸드폰을 사셨다,사셨다,True,
1,4,honorableS-plainV,어제 저녁에 혼자서 선생님이 핸드폰을 샀다.,close,선생님이,이,핸드폰을 샀다,샀다,False,
1,5,honorableS-honorificV,어제 저녁에 혼자서 선생님이 편지를 쓰셨다.,close,선생님이,이,편지를 쓰셨다,쓰셨다,True,
1,5,honorableS-plainV,어제 저녁에 혼자서 선생님이 편지를 썼다.,close,선생님이,이,편지를 썼다,썼다,False,
1,6,honorableS-honorificV,어제 저녁에 혼자서 선생님이 노래를 부르셨다.,close,선생님이,이,노래를 부르셨다,부르셨다,True,
1,6,honorableS-plainV,어제 저녁에 혼자서 선생님이 노래를 불렀다.,close,선생님이,이,노래를 불렀다,불렀다,False,
1,7,honorableS-honorificV,어제 저녁에 혼자서 선생님이 티비를 보셨다.,close,선생님이,이,티비를 보셨다,보셨다,True,
1,7,honorableS-plainV,어제 저녁에 혼자서 선생님이 티비를 봤다.,close,선생님이,이,티비를 봤다,봤다,False,
1,8,honorableS-honorificV,어제 저녁에 혼자서 선생님이 산책을 하셨다.,close,선생님이,이,산책을 하셨다,하셨다,True,
1,8,honorableS-plainV,어제 저녁에 혼자서 선생님이 산책을 했다.,close,선생님이,이,산책을 했다,했다,False,
1,9,honorableS-honorificV,어제 저녁에 혼자서 선생님이 정원을 가꾸셨다.,close,선생님이,이,정원을 가꾸셨다,가꾸셨다,True,
1,9,honorableS-plainV,어제 저녁에 혼자서 선생님이 정원을 가꿨다.,close,선생님이,이,정원을 가꿨다,가꿨다,False,
1,10,honorableS-honorificV,어제 저녁에 혼자서 선생님이 빨래를 널으셨다.,close,선생님이,이,빨래를 널으셨다,널으셨다,True,
1,10,honorableS-plainV,어제 저녁에 혼자서 선생님이 빨래를 널었다.,close,선생님이,이,빨래를 널었다,널었다,False,
1,11,honorableS-honorificV,어제 저녁에 혼자서 교수님이 책을 읽으셨다.,close,교수님이,이,책을 읽으셨다,읽으셨다,True,
1,11,honorableS-plainV,어제 저녁에 혼자서 교수님이 책을 읽었다.,close,교수님이,이,책을 읽었다,읽었다,False,
1,12,honorableS-honorificV,어제 저녁에 혼자서 교수님이 파스타를 드셨다.,close,교수님이,이,파스타를 드셨다,드셨다,True,
1,12,honorableS-plainV,어제 저녁에 혼자서 교수님이 파스타를 먹었다.,close,교수님이,이,파스타를 먹었다,먹었다,False,
1,13,honorableS-honorificV,어제 저녁에 혼자서 교수님이 호통을 치셨다.,close,교수님이,이,호통을 치셨다,치셨다,True,
1,13,honorableS-plainV,어제 저녁에 혼자서 교수님이 호통을 쳤다.,close,교수님이,이,호통을 쳤다,쳤다,False,
1,14,honorableS-honorificV,어제 저녁에 혼자서 교수님이 핸드폰을 사셨다.,close,교수님이,이,핸드폰을 사셨다,사셨다,True,
1,14,honorableS-plainV,어제 저녁에 혼자서 교수님이 핸드폰을 샀다.,close,교수님이,이,핸드폰을 샀다,샀다,False,
